movieId,title,genres,director,cast
188,Namma Veettu Pillai,"Comedy, Action",Pandiraj,"Sivakarthikeyan, Aishwarya Rajesh, Samuthirakani"
189,Game Over,"Thriller, Horror",Ashwin Saravanan,"Taapsee Pannu, Vinodhini Vaidyanathan, Anish Kuruvilla"
190,Peranbu,"Drama, Family",Ram,"Mammootty, Sadhana, Anjali"
191,Thadam,"Crime, Mystery, Thriller, Action",Magizh Thirumeni,"Arun Vijay, Vidhya Pradeep, Tanya Hope"
192,Thambi,"Thriller, Action",Jeethu Joseph,"Karthi, Jyothika, Sathyaraj"
193,Raatchasi,"Thriller, Drama",Sy Gowtham Raj,"Jyothika, Hareesh Peradi, Poornima Bhagyaraj"
194,Dev,"Romance, Action",Rajath Ravishankar,"Karthi, Rakul Preet Singh, Prakash Raj"
195,Kaappaan,"Action, Thriller",K. V. Anand,"Suriya, Mohanlal, Arya"
196,Igloo,"Drama, Romance",Bharath Mohan,"Amzath Khan, Anju Kurian, Bagavathi Perumal"
197,Jackpot,"Comedy, Action",Kalyaan,"Jyothika, Revathi, Anandaraj"
198,Vantha Rajavathaan Varuven,"Drama, Action",Sundar C,"Silambarasan, Megha Akash, Catherine Tresa"
199,Sarvam Thaala Mayam,"Family, Music, Drama",Rajiv Menon,"G. V. Prakash Kumar, Nedumudi Venu, Aparna Balamurali"
200,Kadaram Kondan,"Action, Thriller",Rajesh M. Selva,"Vikram, Abi Hassan, Akshara Haasan"
201,NGK,Drama,Selvaraghavan,"Suriya, Rakul Preet Singh, Sai Pallavi"
202,Nenjamundu Nermaiyundu Odu Raja,"Comedy, Romance",Karthik Venugopalan,"Rio Raj, Vignesh, Shirin Kanchwala"
203,Hero,"Crime, Thriller, Action",P. S. Mithran,"Sivakarthikeyan, Arjun Sarja, Abhay Deol"
204,Aadai,Thriller,Rathna Kumar,"Amala Paul, Ramya Subramanian, Sriranjini"
205,Kee,"Thriller, Action",Kalees,"Jiiva, Govind Padmasoorya, Nikki Galrani"
206,Action,Action,Sundar C,"Vishal Krishna, Tamannaah Bhatia, Aishwarya Lekshmi"
207,Sillu Karuppatti,"Drama, Romance",Halitha Shameem,"Samuthirakani, Sunaina, K. Manikandan"
208,Petromax,"Comedy, Horror",Rohin Venkatesan,"Tamannaah Bhatia, Kaali Venkat, Munishkanth"
209,Ayogya,"Action, Crime, Drama",Venkat Mohan,"Vishal Krishna, Raashii Khanna, R. Parthiban"
210,Chithiram Pesuthadi 2,"Drama, Thriller",Rajan Madhav,"Vidharth, Radhika Apte, Ajmal Ameer"
211,Dhilluku Dhuddu 2,"Comedy, Horror",Rambhala,"Santhanam, Shritha Sivadas, Rajendran"
212,Mr. Local,"Romance, Action, Comedy",M. Rajesh,"Sivakarthikeyan, Nayanthara, Yogi Babu"
213,Adutha Saattai,"Action, Drama",M. Anbazhagan,"Samuthirakani, Thambi Ramaiah, Yuvan"
214,Devi 2,"Horror, Comedy",A. L. Vijay,"Prabhu Deva, Tamannaah Bhatia, Nandita Swetha"
215,Natpe Thunai,Drama,Parthiban Desingu,"HipHop Tamizha Adhi, Anagha, Karu Pazhaniappan"
216,Alexander Babu: Alex in Wonderland,"Comedy, Music",Unknown,"Alexander Babu, unknown, unknown"
217,Mehandi Circus,Drama,Raju Saravanan,"Madhampatty Rangaraj, Shweta Tripathi Sharma, Vignesh"
218,100,Action,Sam Anton,"Atharvaa Murali, Hansika Motwani, Yogi Babu"
219,Hope,Documentary,Fathima Shanaz,"Fathima, unknown, unknown"
220,Comali,"Comedy, Drama",Pradeep Ranganathan,"Jayam Ravi, Kajal Agarwal, Samyuktha Hegde"
221,Oththa Seruppu Size 7,"Thriller, Drama",R. Parthiban,"R. Parthiban, Gayathrie Shankar, Deepa Venkat"
222,Kuppathu Raja,"Action, Comedy, Drama",Baba Baskar,"G. V. Prakash Kumar, R. Parthiban, Palak Lalwani"
223,K-13,Thriller,Barath Neelakantan,"Arulnithi, Shraddha Srinath, Gayathrie Shankar"
224,Aruvam,"Thriller, Horror",Sai Shekhar,"Siddharth, Catherine Tresa, Sathish"
225,Boomerang,"Action, Thriller",R. Kannan,"Atharvaa Murali, Megha Akash, Indhuja Ravichandran"
226,Market Raja MBBS,"Comedy, Action",Saran,"Radhika Sarathkumar, Aarav Kizar, Kavya Thapar"
227,Enai Noki Paayum Thota,"Action, Drama, Romance",Gautham Vasudev Menon,"Dhanush, Megha Akash, Sunaina"
228,Watchman,"Drama, Action, Thriller",A. L. Vijay,"G. V. Prakash Kumar, Samyuktha Hegde, Suman Talwar"
229,Monster,"Drama, Comedy, Family",Nelson Venkatesan,"S. J. Suryah, Priya Bhavani Shankar, Karunakaran"
230,Kaalidas,"Action, Crime",Sri Senthil,"Bharath Srinivasan, Ann Sheetal, Aadhav Kannadasan"
231,Pettikadai,Drama,Esakki Karvannan,"Samuthirakani, Varsha Bollamma, Chandhini Tamilarasan"
232,Agni Devi,,J P R,"Bobby Simha, Madhoo, Remya Nambeesan"
233,Airaa,"Drama, Horror",K. M. Sarjun,"Nayanthara, Kalaiyarasan, Yogi Babu"
234,Nerkonda Paarvai,"Drama, Action, Thriller",H. Vinoth,"Ajith Kumar, Shraddha Srinath, Abhirami Venkatachalam"
235,90 ML,"Comedy, Drama",Anita Udeep,"Oviya Helen, Anson Paul, Masoom Shankar"
236,Neeya 2,"Horror, Thriller",L. K. Suresh,"Jai Sampath, Catherine Tresa, Raai Laxmi"
237,Kolaiyuthir Kaalam,"Crime, Thriller, Horror",Chakri Toleti,"Nayanthara, Prathap Pothan, Bhumika Chawla"
238,Sangathamizhan,"Action, Drama",Vijay Chandar,"Vijay Sethupathi, Raashii Khanna, Nivetha Pethuraj"
239,Ispade Rajavum Idhaya Raniyum,"Drama, Romance",Ranjit Jeyakodi,"Harish Kalyan, Shilpa Manjunath, Ma Ka Pa Anand"
240,Dharma Prabhu,"Comedy, Drama, Fantasy",Muthukumaran,"Yogi Babu, Ramesh Thilak, N. Azhagamperumal"
241,Vennila Kabaddi Kuzhu 2,Drama,Selvashekaran,"Vikranth, Arthana Binu, Pasupathy"
242,Dhanusu Raasi Neyargalae,"Romance, Comedy",Sanjay Bharathi,"Harish Kalyan, Digangana Suryavanshi, Reba Monica John"
243,Pancharaaksharam,Thriller,Balaji Vairamuthu,"Santhosh Prathap, Madhu Shalini, Ashwin Jerome"
244,Gurkha,Comedy,Sam Anton,"Yogi Babu, Anandaraj, Elyssa Erhardt"
245,Sivappu Manjal Pachai,Thriller,Sasi,"Siddharth, G. V. Prakash Kumar, Lijomol Jose"
